tweet_text,month_of_tweet
New anti-cancer discovery from Guinea Hen Weed …,7
#Cancer Strikes cut off Papua New Guinea as tension builds before no-confidence vote,7
cancer treatment guinea pig …,7
"my guinea pig had cancer so I started a gofundme for there treatment (€2000) every €,£,¥,$ helps pic.twitter.com/X3jEh3oa3N",7
Draw your guinea pig and your partner discovering the cure for cancer,7
Being told by the hospital for my cancer I was a Guinea pig and still made it out on top... Best believe I'm about to show out.,7
cancer treatment guinea pig …,7
CANCER=BIG BUSINESS=$$=AMERICANS GUINEA PIGS 4 EXPERIMENTATION! CHEMICALS CAUSE CANCER*PREVENT NOT PERPETUATE! …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig …pic.twitter.com/HD5GfBlUIB,7
Help me to raise €2k for the cancer treatment from my loved guinea pig …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig …pic.twitter.com/qSWqfIr3Da,7
Help me to raise €2k for the cancer treatment from my loved guinea pig Please show your love …pic.twitter.com/aRAqZNUJWm,7
Help me to raise €2k for the cancer treatment from my loved guinea pig. Please show your love x …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig. …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig.Please show your love …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig. Please show your love x …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig. Please show your love x …,7
Help me to raise €2k for the cancer treatment from my loved guinea pig. I can't afford it. Please show your love x …,7
yeah bc my Guinea pig is dying from cancer and I go to driving school every day,7
"cancers patient don't survive in india.Thy r used as Guinea pig.Bad diagnosis,worst treatment & rehabilitation #suckers",7
I'm raising money for cancer treatment guinea pig. Click to Donate: … via,7
Draw your guinea pig and your cat discovering the cure for cancer,7
Draw your guinea pig and your cat discovering the cure for cancer,7
"So, bad news. My precious guinea pig Volly has cancer and it's looking like I have to put her down ):",7
"""Will I feel like a guinea pig?"" > Cancer patients share their experience w/ clinical trials pic.twitter.com/XKcZwQJGAH",7
I was told today that my guinea pig is slowly dying and that he could have cancer. I don't think I've ever been so upset in my entire life!,7
Draw your neighbor and your guinea pig discovering the cure for cancer,7
Draw your guinea pig and your puppy discovering the cure for cancer,7
Guinea-Bissau Becomes the Second West-African Country to Report Zika Cases #health #cancer,7
and like guinea pigs? growth for the sake of breeding is an attribute of the cancer cells!,7
Everyone pray for Gwyneth's guinea pig he has thyroid cancer #prayforsnubblespic.twitter.com/H9FObd0Rk6,7
A doctor doesn't have to have cancer to treat it. Jimmy Carter didn't have to get the Guinea Worm to fight it. #BETAwards2016 #BETAwards,7
'Pretty amazing how my guineapigs has cancer causing a weepy eye and my other Guinea pig cleans her eye than cuddles her bestfriends,6
"please pray for Lydia, the girl from Papa New Guinea who got saved at our church here. She has stage 1 cancer.",6
Aspartame is used as their sweetner! Again suspicion of cancer and again humans are guinea pigs in this equation,6
Draw your guinea pig and your neighbor discovering the cure for cancer,6
"We had projects on cancer, unknown planets, giant pandas, the lesser panda, deep sea creatures , why do guinea pigs squeal and how to drum.",6
Did he apologize for running his mouth about Erin Moran- she died of cancer no drugs involved-. His wife is as tacky As he is,6
"I guess he means after AHCA, no one with cancer can afford treatment. No patients => doctors not needed. Only guinea pigs for #AI #bigData",6
I work with a big team of distributors from Papua New Guinea with a product that may eliminate Cervical cancer and …,6
Prevention in Action: Papua New Guinea Cancer Foundation presenting PNG's #HPV vaccination programme & challenges to implement. #APCC2017,6
When I was a kid they were treating acne with X-ray. I was a guinea pig. That why the thyroid cancer too.,6
Draw your guinea pig and your buddy discovering the cure for cancer,6
The class guinea pig died last week. You'd think this would be easier to handle considering we once had to explain cancer to a 3yo but nah,6
Children weren't told they were guinea pigs for new cancer vaccine via,6
BLM is cancer to us society. Their supporters are fucked in the head. If you dont like usa thats great go back to Guinea.,6
So my popa is coming back to nz after being in Papua New guinea for 19 years bc he has stomach cancer but hes wanted for like 9 mill things,6
Draw your guinea pig and your mom discovering the cure for cancer,6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine …",6
A good heart doctor who cured cancer been murdered these system is only making money using fellow citizen guinea pigs,6
The Government of Equatorial Guinea published an article on the launch of MCDI's Cervical Cancer project: #CCST,6
Looking @ cancer immunotherapy but don't want 2 B a guinea pig? Listen 2: . From &,6
Product testimony of our business partner from Papua New Guinea. Listen on how she became cancer free after 7...,6
Learn how MCDI is tackling the second most diagnosed cancer for women in Equatorial Guinea on our blog pic.twitter.com/xXZYDehjMy,6
this is mocha. he had cancer on his tail so it had to be amputated. he now has a nub and looks like a guinea pig. pic.twitter.com/UYseM0Csnu,6
She also probably does not divert money out of her charities (like children with cancer) to uer own accounts,6
"God created Ebola Zaire, Zika, AIDS, malaria, cancer, polio, guinea worm, birth defects....treat them with love.",6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",6
"Bill Gates' Philanthropy: 30,000 Indian Girls Used as Guinea Pigs To Test Cancer Vaccine",6
N.J.'s Top Pet: A cancer comfort a Garden State Golden and a cuddly guinea pig WATCH at: …pic.twitter.com/szf40prslZ,6
what does think his family deserves for siphoning money intending for kids with cancer? being slum lords? Not paying bills,6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",6
98 Million guinea pigs now have cancer form our loving Government CDC,6
My amazing friend Mark Guinea is fundraising for Macmillan Cancer Support. Donate to Mark's JustGiving page …,6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",6
"Bill Gates’ Philanthropy: 30,000 Indian girls used as guinea pigs to test cancer vaccine",6
