tweet_text,month_of_tweet
the life of a pisces and a cancer - season 1 (itv) the best friend you could ever have,6
"Did you know that roucou is used as medicine, internally for mouth cancer, it lowers fever,…",6
3...2.....1..... Run run run #gefismusic #gefmusicnightrunfest… …,6
Cervical Cancer Meeting #cervical cancer #roboticsurgery #cancer @ Hotel InterContinental Medellin,6
"São Paulo | Gut Bacteria ""Mismatch"" Could Increase Gastric Cancer Risk: If your gut bacteria originally immigrated…",4
"Beer, champions & family #relax #uefachampionsleague @ Norcasia,… …",4
I'm at IBC - Instituto baiano do cancer HIS,4
"happy-marina and The Diamonds, cancer-twenty one pilotsssss",4
We are socially responsible - we help families who have children undergoing cancer treatments by…,4
Sweet case #casual #case #canceriano #cancer #signos #compreensivel #friendship #selfie…,3
"So happy to have one of my cancer healing mentors & inspirations, and also great friend here…",3
"So happy to have one of my biggest inspirations, cancer healing mentors, and great friend here…",3
"São Paulo | Let's Dare The Deadly Out Of Prostate Cancer: On Friday 24th March in Johannesburg, South Africa…",3
#Cancer gets irritated by people who do not give them a chance to prove themselves.,3
"#Cancer loves a clean,beautiful environment.",3
A reason why #Cancer signs are so private is because they don't want to open themselves up to potential criticism.,3
Project:OM to Gather 1 Million Yogis for Fight Against Breast Cancer #Yogapic.twitter.com/0oNbKH3NGG,3
#Cancer gets irritated by people who do not give them a chance to prove themselves.,3
"A photo of Erika Sallum, on the night before her surgery. She had cancer and her article:…",3
Take that Marlboro Man. A good way to deter smokers at clubs. Have a cancer stick loose your…,3
#flashback..all smiles at zumba class last tuesday ...hey guys in honor of breast cancer…,10
Breast Cancer is REAL. Head to the link in my bio to learn more about it and to donate to women…,10
"#Repost cancerinspirational ・・・ October is Breast Cancer Awareness Month, provides an…",10
OMG! Food was soooo good! #ArubaPics #GirlsGetaway… …,10
WELL DAMN IF YOU COULD BE WORSE—DONALD TRUMP HT—HIGH AS FUCK AT A TURNING POINT AS SU MORE FOR CANCER—WHO IS JUST THE ONE THAT HAD POOF KNOW,10
Cancer makes friends feel like family.,10
"The Arctic Circle, Tropic of Cancer, Tropic of Capricorn and now finally 8000 miles after…",10
October the month of Pink The month of the ultimate fight against Breast Cancer although I say…,10
"Doing my part to support the fight against breast cancer, one sip at… …",10
#Blessed #mshadows #carolinadickman @ Hospital do Cancer …,10
Just posted a photo @ A.C.Camargo Cancer Center …,10
#caminando_por_la_vida #sumaya_nara #sonrisas #walk #juntos_contra_el_cancer @ Club Tennis…,10
Cancer,10
Scotiabank Women Against Cancer 5K #EffYouCancer #WalkAgainstCancer… …,10
Ready for the show#Pink Carpet #yo luho #Fonda cáncer #formal dress#chiffon#pink @ AltaPlaza Mall,10
Sun is starting to set. #Aruba… …,10
Heading to the pool. Its beautiful outside. #GettingStamps …,10
Twenty one pilots-cancer-,10
Join GT Fitness in the fight against Breast Cancer & Finding the Cure By purchasing your…,10
#Cancer's power colors: Silvers,10
I'm at Hospital del Cancer,10
#breasfeeding all women shall do a medical test with the gynecologist to prevent breast cancer…,10
Day one of #thingsIlearnedaboutbreastcancer: Your fight does not end when the cancer is…,10
The man with the ideas Imax supports the fight against Breast Cancer & is part of GT Fitness…,9
The Young Veteran Preedy supports the fight against Breast Cancer & is part of GT Fitness…,9
ALSO MY—KEEPING THINGS SIMPLE IS AN UPHILL BATTLE NOW AS YOUR MIND IS MORE IMPOANT THAN EVER WHILE MORE FOR CANCER—THE WAY YOUR—WHEN WOMEN,9
GT FITNESS We support the Breast Cancer Movement:October wear Pink Breakfast Sale Saturday…,9
#cancers trends to see the glass as half empty,9
When #Cancer care about something that means they truly care about it.,9
#cancers don't like to feel trapped.. They will run,9
#Cancer want to be in absolute control of every area of their lives ?,9
"As a #Cancer, Your beauty comes from your generosity, your sympathetic nature",9
The best of all its U My doggy #Issis #tattoo #onelove =D …,9
DDosearon a Mate alto cancer,12
#logo for an #NGO deidcated to treat children with #cancer #logotype #graphicdesign #brand…,12
Today it's #8YearsAgo that was finished with my hardest fight in my life #CANCER. It 8 chemo…,12
São Paulo | Researchers find genetic variants associated with susceptibility to mouth and throat cancer: ...…,12
Alto cancer wtf,12
"#nothingpersonalinc #cancer #Survivor #trinidad @ Movietowne, Port-of-Spain",12
Nothing Personal Inc..TTMA Cancer Charity Event...Now Have A Nice Day #nothingpersonalinc…,12
"Having breast cancer affects you in many different ways. For example, treatments may change the… …",12
São Paulo | Researcher: Breast Cancer Deaths Decline in Many Countries: Results from South America were mixed.…,12
"A woman has a higher risk of breast cancer if her mother, sister or daughter had breast cancer,… …",12
Cancer @ Comic Con Experience,12
#Repost with repostapp ・・・ Hey guysIt's a Child Cancer awareness week and I'm…,12
Stickers mix #slapstickers #ripcancerbero #cancer #cancerbero #handstyler #slaps #stickerporn…,11
I have over 6 years experience in management of patients with breast cancer. If you want to… …,11
I intend to populate Instagram with children's characters for Child Cancer Awareness Week...I…,11
#SenpaiDameRabo cancer mcr,11
I intend to populate instagram with children's characters for Child Cancer Awareness Week.…,11
"National Cancer Day @ Salvador, Brazil …",11
Cancer no death mask #knightsofzodiacs #cavaleirosdozodiaco #caballeirosdelzodiaco #fanart…,11
Throwups letter formal #blackbook #rip #can #cancerbero #cancer #caribes #caracas #venezuela…,11
November 23rd National Day of Fight against Childhood Cancer Our struggle is for life and they…,11
You need to look within to cure the cancer…she is just highlighting the problems ! #blamegame,3
#doesangue @ A.C.Camargo Cancer Center …,3
#lovemusic @ A.C.Camargo Cancer Center,3
i'm the new cancer never looked better @ Dona Almerinda Casa & Café …,2
#randomactsofkindnes donated my hair to kids with cancer! @ Maison Vitalícia,2
#SaintSeiya #GuerraDosMilDias #Camus #DeathMask #MáscaraDaMorte#Cancer #Áquario #Aquarius…,2
#Cancer's have a very emotional desire in a relationship,2
"Eating 10 portions of fruit and vegetables day could significantly reduce risk of heart attack, stroke and cancer …""",2
Como siempre los Knights recorriendo el mundo =D #mexico… …,2
#Cancer's are generous givers and humble and grateful receivers....,2
#Cancer woman know the secret language of men...,2
#tbt #carnaval #campobelo @ A.C.Camargo Cancer Center,2
Thank you so much for the strength to fight this brain cancer I miss all of you. @ Bigfoot…,2
The old school jersey with the f... cancer and the new lesmills clothing…,2
#Cancer most enduring quality is an unexpected silly sense of humor.,2
"MIAMI CANCER INSTITUTE NAMES MURUGESAN MANOHARAN, M.D., CHIEF OF UROLOGIC ONCOLOGY SURGERY",2
"#Repost Today February 4th is World Cancer Day, one of the most important dates…",2
